0-14640 press up
14930-18020 press up
18180-26710 press up
26790-32130 press up
32570-37280 press up
3040-3110 press down
10990-11070 press down
13510-13620 press down
26320-26740 press down
0 steer 1825
10 steer 1825
20 steer 2076
30 steer 1825
40 steer 1825
50 steer 1825
60 steer 1825
70 steer 1825
80 steer 1825
90 steer 1571
100 steer 1571
110 steer 1571
120 steer 1571
130 steer 1571
140 steer 1571
150 steer 1571
160 steer 1571
170 steer 1571
180 steer 1571
190 steer 1571
200 steer 1571
210 steer 1571
220 steer 1571
230 steer 1571
240 steer 1571
250 steer 1571
260 steer 1571
270 steer 1571
280 steer 1571
290 steer 1571
300 steer 1571
310 steer 1571
320 steer 1571
330 steer 1571
340 steer 1571
350 steer 1571
360 steer 1571
370 steer 1571
380 steer 1571
390 steer 1571
400 steer 1571
410 steer 1571
420 steer 1571
430 steer 1571
440 steer 1571
450 steer 811
460 steer 811
470 steer 0
480 steer 0
490 steer 0
500 steer 0
510 steer 0
520 steer 0
530 steer 0
540 steer 0
550 steer 0
560 steer -2574
570 steer -5356
580 steer -5356
590 steer -5356
600 steer -5609
610 steer -5609
620 steer -5609
630 steer -6114
640 steer -6114
650 steer -6114
660 steer -6114
670 steer -6114
680 steer -6114
690 steer -6114
700 steer -6114
710 steer -6114
720 steer -6114
730 steer -6114
740 steer -6114
750 steer -6114
760 steer -6114
770 steer -5860
780 steer -5860
790 steer -5860
800 steer -5860
810 steer -5609
820 steer -5609
830 steer -5609
840 steer -5609
850 steer -5609
860 steer -5609
870 steer -5609
880 steer -5609
890 steer -5860
900 steer -5860
910 steer -5860
920 steer -5860
930 steer -5860
940 steer -5860
950 steer -5860
960 steer -5860
970 steer -5860
980 steer -5860
990 steer -5860
1000 steer -5860
1010 steer -5860
1020 steer -5860
1030 steer -5860
1040 steer -5860
1050 steer -5860
1060 steer -5860
1070 steer -5860
1080 steer -5860
1090 steer -5860
1100 steer -5860
1110 steer -5860
1120 steer -5860
1130 steer -5860
1140 steer -5860
1150 steer -5860
1160 steer -5860
1170 steer -5860
1180 steer -5860
1190 steer -5860
1200 steer -5860
1210 steer -5860
1220 steer -5860
1230 steer -5860
1240 steer -5860
1250 steer -5860
1260 steer -5860
1270 steer -5860
1280 steer -5860
1290 steer -5860
1300 steer -6367
1310 steer -6367
1320 steer -6367
1330 steer -6367
1340 steer -6367
1350 steer -6367
1360 steer -6367
1370 steer -6367
1380 steer -6874
1390 steer -6874
1400 steer -6874
1410 steer -6874
1420 steer -6874
1430 steer -6874
1440 steer -6874
1450 steer -6874
1460 steer -6874
1470 steer -6874
1480 steer -6874
1490 steer -6874
1500 steer -6874
1510 steer -9654
1520 steer -10412
1530 steer -11676
1540 steer -11676
1550 steer -12687
1560 steer -12687
1570 steer -12687
1580 steer -12687
1590 steer -12687
1600 steer -12687
1610 steer -12687
1620 steer -12687
1630 steer -12687
1640 steer -12687
1650 steer -12687
1660 steer -12687
1670 steer -12687
1680 steer -12687
1690 steer -12687
1700 steer -12687
1710 steer -12687
1720 steer -12687
1730 steer -12687
1740 steer -13952
1750 steer -14963
1760 steer -16227
1770 steer -17238
1780 steer -17238
1790 steer -19767
1800 steer -19767
1810 steer -19767
1820 steer -19767
1830 steer -19767
1840 steer -19767
1850 steer -19767
1860 steer -19767
1870 steer -20525
1880 steer -20525
1890 steer -20525
1900 steer -20525
1910 steer -20525
1920 steer -19010
1930 steer -11425
1940 steer -5103
1950 steer -4598
1960 steer -2827
1970 steer 0
1980 steer 0
1990 steer 0
2000 steer 0
2010 steer 0
2020 steer 0
2030 steer 0
2040 steer 0
2050 steer 0
2060 steer 0
2070 steer 0
2080 steer 0
2090 steer 0
2100 steer 0
2110 steer 0
2120 steer 0
2130 steer 0
2140 steer 0
2150 steer 0
2160 steer 0
2170 steer 0
2180 steer -2069
2190 steer -3587
2200 steer -5103
2210 steer -5860
2220 steer -11929
2230 steer -13447
2240 steer -21032
2250 steer -22296
2260 steer -25076
2270 steer -29881
2280 steer -30892
2290 steer -33675
2300 steer -33675
2310 steer -33675
2320 steer -33675
2330 steer -33675
2340 steer -33675
2350 steer -33675
2360 steer -33675
2370 steer -33675
2380 steer -34179
2390 steer -34179
2400 steer -29628
2410 steer -5860
2420 steer -4345
2430 steer 0
2440 steer 0
2450 steer 0
2460 steer 0
2470 steer 0
2480 steer 0
2490 steer 2836
2500 steer 8398
2510 steer 12189
2520 steer 20534
2530 steer 22556
2540 steer 22556
2550 steer 22556
2560 steer 18259
2570 steer 10674
2580 steer 0
2590 steer 0
2600 steer 0
2610 steer -805
2620 steer -5356
2630 steer -12941
2640 steer -19010
2650 steer -21536
2660 steer -24065
