0-18090 press up
18280-18390 press up
18420-28400 press up
28440-35960 press up
36480-39160 press up
39610-39680 press up
39740-40940 press up
41010-41660 press up
41810-44650 press up
4690-4760 press down
8340-8440 press down
12220-12330 press down
16110-16220 press down
21770-21910 press down
27770-28290 press down
33520-34100 press down
39220-39390 press down
40250-40380 press down
40610-40680 press down
0 steer 0
10 steer 0
20 steer 0
30 steer 0
40 steer 0
50 steer 0
60 steer 0
70 steer 0
80 steer 0
90 steer 0
100 steer 0
110 steer 0
120 steer 0
130 steer 0
140 steer 0
150 steer 0
160 steer 0
170 steer 0
180 steer 0
190 steer 0
200 steer 1287
210 steer 3429
220 steer 3429
230 steer 4143
240 steer 6760
250 steer 6760
260 steer 6760
270 steer 8187
280 steer 8187
290 steer 8187
300 steer 8187
310 steer 8187
320 steer 8187
330 steer 8187
340 steer 8187
350 steer 8187
360 steer 8187
370 steer 8187
380 steer 8187
390 steer 8187
400 steer 8187
410 steer 8187
420 steer 8187
430 steer 8187
440 steer 9378
450 steer 12472
460 steer 12472
470 steer 13185
480 steer 13898
490 steer 16278
500 steer 15565
510 steer 16041
520 steer 16041
530 steer 16754
540 steer 16754
550 steer 16754
560 steer 16754
570 steer 16754
580 steer 16754
590 steer 16754
600 steer 16754
610 steer 16754
620 steer 16754
630 steer 16754
640 steer 16754
650 steer 16754
660 steer 16754
670 steer 16754
680 steer 16754
690 steer 16754
700 steer 16754
710 steer 16754
720 steer 16754
730 steer 16754
740 steer 16754
750 steer 16754
760 steer 16754
770 steer 16754
780 steer 16754
790 steer 16754
800 steer 16754
810 steer 16754
820 steer 16754
830 steer 16754
840 steer 16754
850 steer 16754
860 steer 16754
870 steer 16754
880 steer 16754
890 steer 16754
900 steer 16754
910 steer 16754
920 steer 16754
930 steer 16754
940 steer 16754
950 steer 16754
960 steer 16754
970 steer 16754
980 steer 16754
990 steer 16754
1000 steer 16754
1010 steer 16754
1020 steer 16754
1030 steer 16754
1040 steer 16754
1050 steer 16754
1060 steer 16754
1070 steer 16754
1080 steer 16754
1090 steer 16754
1100 steer 16754
1110 steer 16754
1120 steer 16754
1130 steer 16754
1140 steer 16754
1150 steer 16754
1160 steer 16754
1170 steer 16754
1180 steer 16754
1190 steer 16754
1200 steer 16754
1210 steer 16754
1220 steer 15803
1230 steer 15803
1240 steer 10805
1250 steer 1049
1260 steer 1762
1270 steer 0
1280 steer 0
1290 steer 0
1300 steer 0
1310 steer 0
1320 steer 0
1330 steer 0
1340 steer 0
1350 steer 0
1360 steer 0
1370 steer 0
1380 steer 0
1390 steer 0
1400 steer 0
1410 steer 0
1420 steer 0
1430 steer 0
1440 steer 0
1450 steer 0
1460 steer 0
1470 steer 0
1480 steer 0
1490 steer 0
1500 steer 0
1510 steer 0
1520 steer 0
1530 steer 0
1540 steer 0
1550 steer 0
1560 steer 0
1570 steer 0
1580 steer 0
1590 steer 0
1600 steer 0
1610 steer 0
1620 steer 0
1630 steer 0
1640 steer 0
1650 steer 0
1660 steer 0
1670 steer 0
1680 steer 0
1690 steer 0
1700 steer 0
1710 steer 0
1720 steer 0
1730 steer 0
1740 steer 0
1750 steer 0
1760 steer 0
1770 steer 0
1780 steer 0
1790 steer 0
1800 steer 0
1810 steer 0
1820 steer 0
1830 steer 0
1840 steer 0
1850 steer 0
1860 steer 0
1870 steer 0
1880 steer 0
1890 steer 0
1900 steer 0
1910 steer 0
1920 steer 0
1930 steer 0
1940 steer 0
1950 steer 0
1960 steer 0
1970 steer 0
1980 steer 0
1990 steer 0
2000 steer 0
2010 steer 0
2020 steer 0
2030 steer 0
2040 steer 0
2050 steer 0
2060 steer 0
2070 steer 0
2080 steer 0
2090 steer 0
2100 steer 0
2110 steer 0
2120 steer 0
2130 steer 0
2140 steer 0
2150 steer 0
2160 steer 0
2170 steer 0
2180 steer 0
2190 steer 0
2200 steer 0
2210 steer 0
2220 steer 0
2230 steer 0
2240 steer 0
2250 steer 0
2260 steer 0
2270 steer 0
2280 steer 0
2290 steer 0
2300 steer 0
2310 steer 0
2320 steer 0
2330 steer 0
2340 steer 0
2350 steer 0
2360 steer 0
2370 steer 0
2380 steer 0
2390 steer 0
2400 steer 0
2410 steer 0
2420 steer 0
2430 steer 0
2440 steer 0
2450 steer 0
2460 steer 0
2470 steer 0
2480 steer 0
2490 steer 0
2500 steer 0
2510 steer 0
2520 steer 0
2530 steer 0
2540 steer 0
2550 steer 0
2560 steer 0
2570 steer 0
2580 steer 0
2590 steer 0
2600 steer 0
2610 steer 0
2620 steer 0
2630 steer 0
2640 steer 0
2650 steer 0
2660 steer -4376
2670 steer -6994
2680 steer -7945
2690 steer -10800
2700 steer -11516
2710 steer -11516
2720 steer -12229
2730 steer -11516
2740 steer -12229
2750 steer -12229
2760 steer -12229
2770 steer -12229
2780 steer -12229
2790 steer -12229
2800 steer -12229
2810 steer -12229
2820 steer -12229
2830 steer -12229
2840 steer -12229
2850 steer -12229
2860 steer -12229
2870 steer -12229
2880 steer -12229
2890 steer -12229
2900 steer -12229
2910 steer -12229
2920 steer -12229
2930 steer -12229
2940 steer -12229
2950 steer -12229
2960 steer -12229
2970 steer -12229
2980 steer -12229
2990 steer -12229
3000 steer -12229
3010 steer -12229
3020 steer -12229
3030 steer -12229
3040 steer -12229
3050 steer -12229
3060 steer -12229
3070 steer -12229
3080 steer -12229
3090 steer -12229
3100 steer -12229
3110 steer -12229
3120 steer -12229
3130 steer -12229
3140 steer -12229
3150 steer -12229
3160 steer -12229
3170 steer -12229
3180 steer -12229
3190 steer -12229
3200 steer -12229
3210 steer -12229
3220 steer -12229
3230 steer -12229
3240 steer -12229
3250 steer -12229
3260 steer -12229
3270 steer -12229
3280 steer -12229
3290 steer -12229
3300 steer -12229
3310 steer -12229
3320 steer -12229
3330 steer -12229
3340 steer -12229
3350 steer -12229
3360 steer -12229
3370 steer -12229
3380 steer -12229
3390 steer -12229
3400 steer -12229
3410 steer -12229
3420 steer -12229
3430 steer -10325
3440 steer -6518
3450 steer -3425
3460 steer 0
3470 steer 0
3480 steer 0
3490 steer 0
3500 steer 0
3510 steer 0
3520 steer 0
3530 steer -4614
3540 steer -6043
3550 steer -9612
3560 steer -12467
3570 steer -12467
3580 steer -12467
3590 steer -13418
3600 steer -13418
3610 steer -13418
3620 steer -13418
3630 steer -12705
3640 steer -12705
3650 steer -12705
3660 steer -12705
3670 steer -12705
3680 steer -11992
3690 steer -11992
3700 steer -11992
3710 steer -11992
3720 steer -11992
3730 steer -11992
3740 steer -6994
3750 steer 0
3760 steer 0
3770 steer 0
3780 steer 0
3790 steer 0
3800 steer 0
3810 steer 0
3820 steer 0
3830 steer 0
3840 steer 0
3850 steer 0
3860 steer 0
3870 steer 0
3880 steer 0
3890 steer 0
3900 steer 0
3910 steer -4851
3920 steer -6994
3930 steer -9136
3940 steer -12467
3950 steer -16990
3960 steer -19130
3970 steer -20083
3980 steer -23176
3990 steer -23176
4000 steer -30077
4010 steer -32219
4020 steer -33170
4030 steer -34837
4040 steer -34837
4050 steer -34837
4060 steer -34837
4070 steer -34837
4080 steer -34837
4090 steer -34837
4100 steer -34837
4110 steer -34837
4120 steer -34837
4130 steer -21034
4140 steer 0
4150 steer 0
4160 steer 0
4170 steer 0
