0-7760 press up
30 steer 1821
40 steer 1295
50 steer 2348
70 steer 2874
80 steer 3401
90 steer 3927
100 steer 4454
110 steer 5507
130 steer 6034
140 steer 6560
170 steer 7087
210 steer 8140
240 steer 7613
430 steer 8666
770 steer 9720
1230 steer 9193
1240 steer 8666
1250 steer 6034
1260 steer 2874
1270 steer 0
1410 steer 2348
1420 steer 2874
1430 steer 3401
1440 steer 3927
1460 steer 4454
1920 steer 3401
1930 steer 2874
1940 steer 1295
1950 steer 768
1970 steer 0
2040 steer 768
2050 steer 1295
2060 steer 1821
2070 steer 2874
2080 steer 3401
2090 steer 4454
2100 steer 5507
2120 steer 6034
2160 steer 6560
2200 steer 7087
2270 steer 7613
2290 steer 8666
2300 steer 8140
2320 steer 9193
2330 steer 9720
2360 steer 10246
2410 steer 10773
2630 steer 10246
2640 steer 7613
2650 steer 6560
2660 steer 2874
2670 steer 768
2680 steer 0
3850 steer -8587
3860 steer -10154
3870 steer -10677
3880 steer -11199
3930 steer -10677
3950 steer -10154
3970 steer -7542
3980 steer 0
4070 steer -7542
4080 steer -8064
4090 steer -10154
4110 steer -10677
4120 steer -11199
4130 steer -11722
4190 steer -13289
4200 steer -13811
4210 steer -14856
4220 steer -16424
4230 steer -16946
4240 steer -17469
4270 steer -19036
4280 steer -19559
4290 steer -21648
4300 steer -22693
4310 steer -23216
4320 steer -23738
4350 steer -24261
4370 steer -24783
4380 steer -26351
4400 steer -28440
4410 steer -31053
4420 steer -31575
4430 steer -32098
4440 steer -33143
4450 steer -35233
4460 steer -36277
4470 steer -36800
4640 steer -35755
4650 steer -33665
4660 steer -27918
4670 steer -20081
4680 steer -8587
4690 steer 0
4800 steer -8064
4810 steer -10154
4820 steer -14334
4830 steer -16424
4840 steer -19036
4850 steer -20604
4860 steer -21648
4910 steer -20081
4920 steer -16946
4930 steer -11199
4940 steer 0
5200 steer -8587
5210 steer -10154
5220 steer -13289
5230 steer -14334
5240 steer -14856
5400 steer -15901
5410 steer -16424
5420 steer -17469
5430 steer -17991
5440 steer -19036
5450 steer -19559
5470 steer -20081
5490 steer -21648
5510 steer -22693
5520 steer -23216
5560 steer -23738
5580 steer -24261
5590 steer -24783
5600 steer -26873
5610 steer -27918
5620 steer -29485
5630 steer -30530
5640 steer -31575
5660 steer -33143
5680 steer -34710
5690 steer -35233
5700 steer -35755
5710 steer -36277
5720 steer -36800
5730 steer -37322
5960 steer -36800
5980 steer -33143
5990 steer -27396
6000 steer -20081
6010 steer -10154
6020 steer 0
6210 steer 3401
6220 steer 4981
6230 steer 7613
6240 steer 8140
6270 steer 9193
6310 steer 8140
6330 steer 7087
6340 steer 3401
6350 steer 0
6490 steer 4454
6500 steer 8666
6510 steer 10246
6520 steer 12352
6530 steer 14458
6540 steer 16038
6550 steer 16565
6590 steer 16038
6600 steer 13932
6610 steer 10246
6620 steer 6034
6630 steer 2348
6640 steer 0
7010 steer 7087
7020 steer 12352
7030 steer 17091
7040 steer 25518
7050 steer 36049
7060 steer 45000
7070 steer 65536
7270 steer 59217
7280 steer 42894
7290 steer 31837
7300 steer 13932
7310 steer 0
7350 steer -14334
7360 steer -31575
7370 steer -45682
7380 steer -54564
7390 steer -65536
7700 steer -43592
7710 steer 0
7720 steer 5507
7730 steer 23938
7740 steer 52898
7750 steer 65536
7820 steer 45527
7830 steer 34469
7840 steer 23938
7850 steer 13405
7860 steer 0
7860-23830 press up
8520 steer 7087
8530 steer 14458
8540 steer 22359
8550 steer 30257
8560 steer 39208
8570 steer 44474
8580 steer 48686
8590 steer 62903
8600 steer 65536
9430 steer 64482
9440 steer 38155
9450 steer 32363
9460 steer 25518
9470 steer 19197
9480 steer 11299
9490 steer 4454
9500 steer 0
9790 steer 3927
9820 steer 4981
9870 steer 2874
9880 steer 0
11100 steer -8587
11110 steer -10154
11120 steer -11722
11130 steer -13289
11140 steer -14856
11150 steer -15379
11160 steer -15901
11170 steer -16424
11180 steer -17469
11250 steer -18514
11260 steer -21126
11270 steer -22171
11280 steer -23216
11290 steer -24783
11300 steer -25828
11310 steer -26873
11330 steer -27918
11380 steer -28440
11400 steer -29485
11410 steer -30530
11420 steer -31053
