0-8210 press up
8470-16740 press up
17070-17140 press up
17540-23560 press up
23620-28980 press up
29110-29800 press up
30340-39990 press up
40340-53810 press up
9700-9820 press down
12850-12970 press down
22540-23010 press down
23130-23410 press down
29830-30050 press down
36880-36970 press down
41350-41430 press down
44210-44290 press down
50060-50140 press down
0 steer 1391
10 steer 2547
20 steer 2547
30 steer 4280
40 steer 4858
50 steer 6014
60 steer 7747
70 steer 8325
80 steer 8325
90 steer 8325
100 steer 8325
110 steer 8325
120 steer 8325
130 steer 8325
140 steer 8325
150 steer 8325
160 steer 8325
170 steer 8325
180 steer 8325
190 steer 8325
200 steer 8325
210 steer 9480
220 steer 9480
230 steer 9480
240 steer 9480
250 steer 9480
260 steer 10058
270 steer 10058
280 steer 10058
290 steer 10058
300 steer 10058
310 steer 11216
320 steer 11216
330 steer 11216
340 steer 11216
350 steer 11794
360 steer 11794
370 steer 11794
380 steer 12949
390 steer 13527
400 steer 13527
410 steer 15261
420 steer 15261
430 steer 16416
440 steer 16416
450 steer 16416
460 steer 16416
470 steer 16416
480 steer 16416
490 steer 16416
500 steer 16416
510 steer 16416
520 steer 16416
530 steer 16416
540 steer 16416
550 steer 16416
560 steer 16416
570 steer 16416
580 steer 16416
590 steer 16416
600 steer 16416
610 steer 16416
620 steer 16416
630 steer 16416
640 steer 16416
650 steer 16416
660 steer 16416
670 steer 16416
680 steer 16416
690 steer 16416
700 steer 16416
710 steer 16416
720 steer 16416
730 steer 16416
740 steer 16416
750 steer 16416
760 steer 16416
770 steer 16416
780 steer 16416
790 steer 16416
800 steer 14683
810 steer 12949
820 steer 9480
830 steer 4858
840 steer 0
850 steer 0
860 steer 0
870 steer 0
880 steer 0
890 steer 0
900 steer 0
910 steer 0
920 steer 0
930 steer 0
940 steer 0
950 steer 0
960 steer 0
970 steer 0
980 steer 0
990 steer 0
1000 steer 0
1010 steer 0
1020 steer 0
1030 steer 0
1040 steer 0
1050 steer -680
1060 steer -1249
1070 steer -2956
1080 steer -2956
1090 steer -3525
1100 steer -5231
1110 steer -5800
1120 steer -6369
