0-1180 press down
240 steer -7513
250 steer -34537
260 steer -51473
270 steer -65536
540 steer -50588
550 steer -28350
560 steer -5009
570 steer 0
580 steer 17970
590 steer 37260
600 steer 60161
600-18090 press up
610 steer 65536
1240 steer 50958
1250 steer 48187
1260 steer 19985
1270 steer 2801
1280 steer 1824
1290 steer 0
1380 steer -16717
1390 steer -17793
1400 steer -20288
1410 steer -22962
1420 steer -42255
1430 steer -45012
1440 steer -62591
1450 steer -65536
1550 steer -58573
1560 steer -38585
1570 steer -36912
1580 steer -19441
1590 steer -17379
1600 steer -15613
1610 steer -13991
1620 steer -11710
1640 steer -13168
1650 steer -15517
1660 steer -31917
1670 steer -34518
1680 steer -50221
1690 steer -51652
1700 steer -65536
1780 steer -63716
1790 steer -60811
1800 steer -38955
1810 steer -37145
1820 steer -17379
1830 steer -12574
1840 steer 0
2030 steer -8469
2040 steer -10164
2050 steer -12198
2060 steer -15705
2070 steer -17012
2080 steer -18061
2090 steer -18885
2100 steer -19542
2110 steer -19937
2120 steer -20090
2140 steer -20578
2150 steer -22313
2160 steer -24052
2170 steer -26253
2180 steer -31371
2190 steer -33967
2200 steer -36102
2210 steer -37794
2220 steer -39986
2240 steer -38743
2250 steer -37345
2260 steer -35090
2270 steer -34315
2280 steer -34494
2290 steer -36184
2300 steer -38990
2310 steer -60326
2320 steer -60590
2330 steer -60802
2340 steer -60971
2350 steer -61197
2390 steer -61357
2460 steer -61621
2470 steer -61873
2480 steer -60736
2490 steer -57970
2500 steer -35789
2510 steer -33993
2520 steer -32571
2530 steer -31199
2540 steer -29038
2550 steer -28315
2560 steer -28913
2570 steer -31024
2580 steer -51179
2590 steer -54860
2600 steer -56157
2610 steer -57238
2620 steer -58118
2630 steer -59319
2640 steer -59757
2650 steer -60119
2660 steer -60411
2670 steer -60773
2690 steer -61023
2710 steer -61192
2730 steer -61357
2770 steer -61534
3230 steer -61684
3410 steer -61873
3420 steer -60797
3430 steer -35198
3440 steer 0
3450 steer 2653
3460 steer 18337
3470 steer 37260
3480 steer 65536
4060 steer 60604
4070 steer 40574
4080 steer 0
4100 steer -1473
4110 steer -2947
4120 steer -7057
4130 steer -8608
4140 steer -9832
4150 steer -10811
4160 steer -10491
4170 steer -9187
4180 steer -7250
4190 steer -4522
4200 steer -1631
4210 steer 0
4340 steer 14877
4350 steer 15860
4360 steer 17122
4370 steer 18829
4380 steer 18626
4390 steer 0
4410 steer -4715
4420 steer -6600
4430 steer -9156
4440 steer -14053
4450 steer -15957
4460 steer -17407
4470 steer -18259
4480 steer -18746
4490 steer -18485
4500 steer -18000
4510 steer -17127
4520 steer -14507
4530 steer -13288
4540 steer -11972
4550 steer -10421
4560 steer -6840
4570 steer -5164
4580 steer -3385
4590 steer -1501
4600 steer 0
4690 steer 765
4700 steer 1732
4710 steer 2547
4720 steer 1871
4730 steer 0
4760 steer -18337
4770 steer -52723
4780 steer -65536
4880-5100 press down
5300 steer -61120
5310 steer -58895
5320 steer -35346
5330 steer -8544
5340 steer -6941
5350 steer -4218
5360 steer 0
6060 steer -3187
6070 steer -5910
6080 steer -29676
6090 steer -31182
6100 steer -51386
6110 steer -65536
6370 steer -52650
6380 steer -35125
6390 steer -34449
6400 steer -33790
6410 steer -32792
6420 steer -32451
6430 steer -32180
6470 steer -32696
6480 steer -35365
6490 steer -65536
6590 steer -56186
6600 steer -53227
6610 steer -31516
6620 steer -29261
6630 steer -28421
6640 steer -29511
6650 steer -51473
6660 steer -65536
7810 steer -62885
7820 steer -60105
7830 steer -4345
7840 steer 0
7850 steer 18631
7860 steer 38291
7870 steer 65536
7940 steer 59719
7950 steer 55498
7960 steer 53410
7970 steer 51812
7980 steer 50520
7990 steer 50795
8000 steer 65536
8250 steer 62518
8260 steer 61910
8270 steer 57120
8280 steer 40574
8290 steer 39925
8300 steer 39360
8310 steer 38564
8320 steer 38978
8330 steer 40574
8340 steer 42502
8350 steer 46963
8360 steer 49541
8370 steer 51796
8380 steer 54456
8390 steer 58248
8400 steer 59573
8410 steer 60616
8420 steer 61449
8430 steer 62118
8440 steer 63179
8450 steer 65536
12500 steer 60310
12510 steer 57243
12520 steer 14728
12530 steer 12520
12540 steer 9703
12550 steer 0
12630 steer -9794
12640 steer -44183
12650 steer -65536
13800 steer -48896
13810 steer 0
13830 steer 3535
13840 steer 7923
13850 steer 10564
13860 steer 12956
13870 steer 14900
13880 steer 18130
13900 steer 37703
13910 steer 40261
13920 steer 65463
13930 steer 65536
14260 steer 49835
14270 steer 28277
14280 steer 27334
14290 steer 26105
14300 steer 28513
14310 steer 60088
14320 steer 65536
17010 steer 45875
17020 steer 29970
17030 steer 12299
17040 steer 0
17320 steer 13017
17330 steer 15037
17340 steer 17256
17350 steer 19295
17360 steer 22428
17370 steer 23523
17380 steer 24370
17400 steer 22906
17410 steer 1622
17420 steer 663
17430 steer 0
