0-18090 press up
200 steer 1287
210 steer 3429
230 steer 4143
240 steer 6760
270 steer 8187
440 steer 9378
450 steer 12472
470 steer 13185
480 steer 13898
490 steer 16278
500 steer 15565
510 steer 16041
530 steer 16754
1220 steer 15803
1240 steer 10805
1250 steer 1049
1260 steer 1762
1270 steer 0
2660 steer -4376
2670 steer -6994
2680 steer -7945
2690 steer -10800
2700 steer -11516
2720 steer -12229
2730 steer -11516
2740 steer -12229
3430 steer -10325
3440 steer -6518
3450 steer -3425
3460 steer 0
3530 steer -4614
3540 steer -6043
3550 steer -9612
3560 steer -12467
3590 steer -13418
3630 steer -12705
3680 steer -11992
3740 steer -6994
3750 steer 0
3910 steer -4851
3920 steer -6994
3930 steer -9136
3940 steer -12467
3950 steer -16990
3960 steer -19130
3970 steer -20083
3980 steer -23176
4000 steer -30077
4010 steer -32219
4020 steer -33170
4030 steer -34837
4130 steer -21034
4140 steer 0
4180 steer 4856
4200 steer 12709
4210 steer 16041
4220 steer 15090
4230 steer 20323
4240 steer 30794
4250 steer 36268
4260 steer 33175
4270 steer 37457
4280 steer 51022
4290 steer 52448
4300 steer 51260
4310 steer 54115
4330 steer 55304
4360 steer 31983
4370 steer 27225
4380 steer 13423
4390 steer -2234
4400 steer -12705
4410 steer -16750
4420 steer -23176
4430 steer -32219
4450 steer -41261
4460 steer -43166
4470 steer -41975
4500 steer -41261
4510 steer -17941
4520 steer 0
4540 steer 2714
4550 steer 6760
4560 steer 12947
4580 steer 16516
4640 steer 17230
4650 steer 18896
4660 steer 21039
4670 steer 26272
4680 steer 31746
4690 steer 38410
4690-4760 press down
4700 steer 52688
4710 steer 49355
4720 steer 52448
4730 steer 63158
4740 steer 65536
4770 steer 58398
4780 steer 65536
4890 steer 64587
4900 steer 45786
4910 steer 50071
4920 steer 21276
4930 steer 17230
4940 steer 12709
4950 steer 0
5520 steer 5807
5530 steer 12472
5540 steer 14136
5550 steer 16754
5560 steer 22703
5570 steer 23894
5640 steer 22228
5650 steer 16516
5660 steer 8900
5670 steer 1762
5690 steer 0
5900 steer 8663
5910 steer 12709
5920 steer 16041
5940 steer 17467
5950 steer 23654
5970 steer 31508
5980 steer 27701
5990 steer 36268
6000 steer 38170
6010 steer 49833
6020 steer 53640
6030 steer 53402
