0-16420 press up
280 steer 1762
290 steer 8187
300 steer 7949
320 steer 7712
330 steer 10092
350 steer 11043
360 steer 12472
380 steer 14136
390 steer 16041
410 steer 16754
780 steer 17467
1020 steer 18659
1050 steer 18183
1060 steer 20801
1070 steer 24132
1080 steer 23654
1090 steer 22703
1110 steer 24845
1120 steer 25321
1210 steer 24608
1280 steer 23894
1450 steer 14136
1460 steer 3189
1470 steer 0
1700 steer 1049
1710 steer 2951
1720 steer 3667
1730 steer 2714
1750 steer 3429
1780 steer 811
1820 steer 0
1980 steer 11756
2000 steer 16041
2010 steer 16754
2050 steer 16041
2060 steer 2476
2070 steer 0
2410 steer -807
2420 steer -4138
2430 steer -8185
2440 steer -5805
2450 steer -10087
2460 steer -12229
2470 steer -12943
2480 steer -13894
2490 steer -14847
2520 steer -15561
2530 steer -14610
2680 steer -11516
2690 steer 0
2720 steer 1525
2730 steer 2000
2740 steer 2951
2750 steer 3667
2780 steer 2951
3020 steer 2238
3170 steer 3429
3200 steer 8187
3210 steer 7474
3230 steer 11281
3250 steer 15090
3260 steer 16992
3270 steer 17945
3290 steer 18421
3470 steer 17467
3480 steer 20561
3490 steer 26034
3500 steer 26272
3510 steer 26510
3530 steer 28652
3540 steer 39599
3550 steer 43882
3560 steer 55782
3570 steer 65536
3960 steer 59113
3980 steer 56733
3990 steer 40788
4000 steer 50784
4010 steer 37932
4020 steer 32937
4030 steer 29843
4040 steer 24608
4050 steer 25797
4060 steer 18421
4070 steer 15327
4080 steer 13185
4090 steer 14374
4120 steer 15090
4150 steer 16041
4160 steer 22941
4170 steer 26988
4180 steer 31746
4190 steer 31508
4200 steer 34601
4210 steer 35555
4220 steer 34839
4270 steer 34126
4280 steer 27701
4290 steer 21752
4300 steer 16278
4310 steer 13423
4320 steer 3429
4340 steer 0
4370 steer 1049
4380 steer 0
4430 steer 1049
4440 steer 7712
4450 steer 18896
4460 steer 25083
4470 steer 26750
4480 steer 28177
4520 steer 28890
4540 steer 14136
4550 steer 6998
4570 steer 5807
4580 steer 1287
4600 steer 811
4610 steer 1762
4620 steer 2238
4630 steer 1525
4640 steer 811
4650 steer 1287
4660 steer 10805
4670 steer 16516
4680 steer 21752
4690 steer 27701
4700 steer 35077
4770 steer 29606
4780 steer 21039
4790 steer 15327
4800 steer 5094
4810 steer 2000
4820 steer 0
5340 steer -2474
5350 steer -4376
5380 steer -3425
5390 steer -7469
5400 steer -7945
5410 steer -5805
5420 steer -7469
5430 steer -6994
5440 steer -6043
5460 steer -6280
5550 steer -7945
5570 steer -13181
5580 steer -14610
5600 steer -15561
5690 steer -17703
5700 steer -19605
5710 steer -20321
5720 steer -18892
5730 steer -19605
5790 steer -18654
5820 steer -17941
5930 steer -14847
5940 steer -2474
5950 steer -3425
5960 steer 0
5990 steer 1762
6000 steer 2714
6050 steer 0
6290 steer 2238
6300 steer 2951
6380 steer 2238
6460 steer 1287
6470 steer 1049
6490 steer 0
6540 steer 2476
6550 steer 8663
6560 steer 10329
6570 steer 13185
6580 steer 14612
6590 steer 16041
6600 steer 13898
6610 steer 15565
6670 steer 8900
6680 steer 4380
6690 steer 0
6880 steer 1762
6890 steer 6998
6900 steer 12947
6910 steer 15565
6920 steer 16278
7010 steer 15565
7020 steer 10329
7030 steer 0
7250 steer 13661
7260 steer 17230
7270 steer 16516
7280 steer 17705
7290 steer 19134
7300 steer 21752
7310 steer 21039
7360 steer 8187
7380 steer 0
7540 steer 2238
7550 steer 13898
7560 steer 14374
7570 steer 14850
7580 steer 16516
7640 steer 6523
7660 steer 0
7960 steer 2951
7970 steer 14850
7990 steer 16516
8000 steer 16278
8040 steer 14374
8050 steer 6045
8060 steer 1762
8070 steer 0
8870 steer 6998
8880 steer 16992
8890 steer 17945
8910 steer 26510
8920 steer 26750
8940 steer 28414
9000 steer 22703
9010 steer 14850
9020 steer 9854
9030 steer 6523
9040 steer 3189
9050 steer 1049
9060 steer 0
9090 steer 1049
9250 steer 4380
9260 steer 4143
9270 steer 7474
9280 steer 10092
9290 steer 14136
9300 steer 12947
9310 steer 16992
9320 steer 17945
9330 steer 28414
9340 steer 26750
9350 steer 28890
9360 steer 33412
9370 steer 40788
9380 steer 42693
9390 steer 46262
9400 steer 49593
9410 steer 51260
9420 steer 52688
9430 steer 53164
9440 steer 53402
9450 steer 59589
9460 steer 59351
9470 steer 65536
9750 steer 51497
9770 steer 45073
9780 steer 51022
9790 steer 42455
9800 steer 37219
9810 steer 41741
9830 steer 38886
9840 steer 51497
9860 steer 57922
9870 steer 58875
9880 steer 65536
10090 steer 56495
10100 steer 46262
10110 steer 34363
10120 steer 33650
10130 steer 24608
10140 steer 9138
10150 steer 3189
10160 steer 0
10170 steer -1045
10180 steer -3900
10190 steer -9136
10200 steer -12467
10210 steer -14847
10220 steer -24365
10230 steer -27697
10240 steer -33408
10250 steer -38644
10270 steer -46735
10280 steer -48877
10290 steer -53160
10300 steer -56729
10310 steer -65536
10330 steer -65295
10340 steer -65536
10700 steer -63631
10710 steer -62915
10720 steer -46735
10730 steer -47924
10740 steer -46259
10750 steer -49115
10760 steer -49353
10810 steer -53873
10820 steer -56253
10830 steer -55540
10840 steer -65058
10850 steer -65536
