0-7750 press up
20 steer 661
40 steer 806
50 steer 913
80 steer 1060
90 steer 1149
120 steer 1310
140 steer 1836
150 steer 2218
160 steer 2654
170 steer 3617
190 steer 4525
200 steer 5313
220 steer 5883
230 steer 6156
240 steer 6403
250 steer 6646
260 steer 6911
270 steer 7425
280 steer 7694
290 steer 7965
300 steer 8557
310 steer 8864
320 steer 9166
330 steer 9682
340 steer 9866
350 steer 10027
360 steer 10170
370 steer 10285
380 steer 10406
390 steer 10534
400 steer 10636
410 steer 10799
420 steer 10879
440 steer 11063
450 steer 11206
460 steer 11410
470 steer 11766
480 steer 11944
490 steer 12100
500 steer 12254
510 steer 12406
520 steer 12681
530 steer 12779
550 steer 12946
600 steer 13160
660 steer 13371
890 steer 12792
910 steer 12358
920 steer 12174
930 steer 11996
940 steer 11744
960 steer 11584
1000 steer 11363
1160 steer 11018
1170 steer 9472
1190 steer 6854
1200 steer 5772
1210 steer 4844
1220 steer 3415
1230 steer 2875
1240 steer 2431
1250 steer 2055
1260 steer 1498
1270 steer 1290
1280 steer 939
1300 steer 0
2080 steer 776
2090 steer 991
2100 steer 1108
2110 steer 1249
2120 steer 1520
2140 steer 2160
2150 steer 2901
2160 steer 3619
2170 steer 4695
2190 steer 5525
2200 steer 5852
2210 steer 6137
2220 steer 6661
2230 steer 6958
2240 steer 7271
2250 steer 8060
2270 steer 8999
2280 steer 9407
2290 steer 9749
2300 steer 10248
2310 steer 10430
2320 steer 10573
2330 steer 10794
2350 steer 10929
2370 steer 11018
2420 steer 11141
2620 steer 10278
2630 steer 9335
2640 steer 6559
2650 steer 5310
2660 steer 4176
2670 steer 2268
2690 steer 904
2700 steer 0
3050 steer 806
3060 steer 1342
3070 steer 2331
3080 steer 3981
3090 steer 4599
3100 steer 5091
3110 steer 5803
3120 steer 6054
3130 steer 6256
3140 steer 6403
3160 steer 5128
3170 steer 3771
3190 steer 2405
3200 steer 1774
3210 steer 1195
3220 steer 0
3640 steer -932
3650 steer -1136
3660 steer -1299
3670 steer -1555
3690 steer -1704
3750 steer -1921
3940 steer -2153
4060 steer -2372
4080 steer -2526
4090 steer -2988
4110 steer -3550
4120 steer -3860
4130 steer -4146
4140 steer -4597
4150 steer -4768
4160 steer -4892
4170 steer -4992
4190 steer -5137
4200 steer -5230
4250 steer -5352
4300 steer -5464
4310 steer -5573
4320 steer -5774
4330 steer -6054
4340 steer -6306
4350 steer -6718
4360 steer -7563
4370 steer -9975
4380 steer -11885
4390 steer -14201
4400 steer -30772
4410 steer -29428
4420 steer -33260
4430 steer -35784
4440 steer -38265
4450 steer -43434
4460 steer -46112
4470 steer -48576
4480 steer -51185
4490 steer -53589
4500 steer -57098
4520 steer -59358
4530 steer -60166
4540 steer -60800
4550 steer -61712
4560 steer -62038
4570 steer -62296
4580 steer -62504
4600 steer -62287
4610 steer -61248
4620 steer -59427
4630 steer -57469
4640 steer -52748
4650 steer -50315
4660 steer -47784
4670 steer -43116
4680 steer -40828
4690 steer -38304
4700 steer -20971
4720 steer -18965
4730 steer -17632
4740 steer -16452
4750 steer -14687
4760 steer -14060
4770 steer -13557
4780 steer -13158
4790 steer -12837
4800 steer -12375
4810 steer -12210
4820 steer -12046
4830 steer -10916
4840 steer -9806
4850 steer -8526
4860 steer -7229
4870 steer -4881
4880 steer -3491
4890 steer -1769
4900 steer 0
5090 steer -2511
5100 steer -3289
5110 steer -3923
5120 steer -4430
5130 steer -4838
5140 steer -5423
5150 steer -5642
5160 steer -5820
5170 steer -6043
5180 steer -5701
5190 steer -5289
5200 steer -4935
5210 steer -4623
5220 steer -4176
5230 steer -4011
5240 steer -3884
5250 steer -3779
5260 steer -3632
5280 steer -3537
5330 steer -3415
5390 steer -3294
5400 steer -3146
5420 steer -3036
5440 steer -2919
5570 steer -3400
5580 steer -3753
5590 steer -4779
5600 steer -5564
5610 steer -6722
5620 steer -7900
5630 steer -9528
5640 steer -13806
5650 steer -28606
5660 steer -29712
5670 steer -32037
5680 steer -47142
5690 steer -49693
5700 steer -51594
5710 steer -54008
5720 steer -63983
5730 steer -63868
5740 steer -63775
5750 steer -63629
5770 steer -63525
5800 steer -63452
5810 steer -62632
5820 steer -59973
5830 steer -41418
5840 steer -39286
5850 steer -36688
5860 steer -33939
5870 steer -31540
5880 steer -29584
5890 steer -26509
5900 steer -25267
5910 steer -24198
5920 steer -22639
5930 steer -22084
5940 steer -21641
5950 steer -21286
5960 steer -21001
5970 steer -20589
5980 steer -19896
5990 steer -20329
6000 steer -19928
6020 steer -17985
6030 steer -15847
